# <(nContacts>/<nCoS In NNShell>            epsilon
2.66703356     0.01000000
2.70335326     0.05000000
2.75403926     0.10000000
2.79939608     0.15000000
2.84716613     0.20000000
2.89787743     0.25000000
2.94850373     0.30000000
3.00000618     0.35000000
3.05033899     0.40000000
3.09935436     0.45000000
3.14849075     0.50000000
3.19785436     0.55000000
3.24458673     0.60000000
3.29153007     0.65000000
3.33637773     0.70000000
3.37953621     0.75000000
3.42224320     0.80000000
3.46195100     0.85000000
3.50107536     0.90000000
3.53732982     0.95000000
3.57180201     1.00000000
3.60461951     1.05000000
3.63542559     1.10000000
3.66363745     1.15000000
3.69142284     1.20000000
3.71628341     1.25000000
3.73975826     1.30000000
3.76149434     1.35000000
3.78131598     1.40000000
3.79993103     1.45000000
3.81706392     1.50000000
3.83288529     1.55000000
3.84722442     1.60000000
3.86069763     1.65000000
3.87281209     1.70000000
3.88401028     1.75000000
3.89426612     1.80000000
3.90359299     1.85000000
3.91209986     1.90000000
3.91998838     1.95000000
3.92713884     2.00000000
3.93361097     2.05000000
3.93953940     2.10000000
3.94489336     2.15000000
3.94984967     2.20000000
3.95431392     2.25000000
3.95841180     2.30000000
3.96214937     2.35000000
3.96554011     2.40000000
3.96859070     2.45000000
3.97140769     2.50000000
3.97394514     2.55000000
3.97631181     2.60000000
3.97836960     2.65000000
3.98029815     2.70000000
3.98200209     2.75000000
3.98359210     2.80000000
3.98501590     2.85000000
3.98624980     2.90000000
3.98744869     2.95000000
3.98852546     3.00000000
3.98873275     3.01000000
3.98951763     3.05000000
3.99037198     3.10000000
3.99254734     3.25000000
3.99311196     3.30000000
3.99369744     3.35000000
3.99415132     3.40000000
3.99461607     3.45000000
3.99500185     3.50000000
3.99536304     3.55000000
3.99565994     3.60000000
3.99598777     3.65000000
3.99621461     3.70000000
3.99642004     3.75000000
3.99667406     3.80000000
3.99682784     3.85000000
3.99705842     3.90000000
3.99719037     3.95000000
3.99735950     4.00000000
3.99750084     4.05000000
3.99768892     4.10000000
3.99776987     4.15000000
3.99794939     4.20000000
3.99791123     4.25000000
3.99800096     4.30000000
3.99808063     4.35000000
3.99815842     4.40000000
3.99826798     4.45000000
3.99811206     4.50000000
3.99821984     4.55000000
3.99829939     4.60000000
3.99850488     4.65000000
3.99840813     4.70000000
3.99864275     4.75000000
3.99849699     4.80000000
3.99872133     4.85000000
3.99840954     4.90000000
3.99852674     4.95000000
3.99848838     5.00000000
3.99894683     5.05000000
3.99834234     5.10000000
3.99889795     5.15000000
3.99885934     5.20000000
3.99889801     5.25000000
3.99881073     5.30000000
3.99858661     5.35000000
3.99910330     5.40000000
3.99855705     5.45000000
3.99897658     5.50000000
3.99904468     5.55000000
3.99925922     5.60000000
3.99932744     5.65000000
3.99940525     5.70000000
3.99938589     5.75000000
3.99903500     5.80000000
3.99908380     5.85000000
3.99899615     5.90000000
3.99885968     5.95000000
3.99958086     6.00000000
3.99889873     6.05000000
3.99873308     6.10000000
3.99853825     6.15000000
3.99914224     6.20000000
3.99918132     6.25000000
3.99919108     6.30000000
3.99810981     6.35000000
3.99960037     6.40000000
3.99922027     6.45000000
3.99945415     6.50000000
3.99903519     6.55000000
3.99807072     6.60000000
3.99987326     6.65000000
3.99939568     6.70000000
3.99929823     6.75000000
3.99967832     6.80000000
3.99950290     6.85000000
3.99890857     6.90000000
3.99968806     6.95000000
3.99988303     7.00000000
3.99963933     7.05000000
3.99785644     7.10000000
3.99995126     7.15000000
3.99637678     7.20000000
3.99745731     7.25000000
3.99770086     7.30000000
3.99771056     7.35000000
3.99968806     7.40000000
3.99856757     7.45000000
3.99976606     7.50000000
3.99998050     7.55000000
3.99991227     7.60000000
3.99939572     7.65000000
3.99993177     7.70000000
3.99959063     7.75000000
3.99752548     7.80000000
3.99869422     7.85000000
3.99989277     7.90000000
3.99995126     7.95000000
3.99995126     8.00000000
3.99809013     8.05000000
