# <nCoS In NNShell>             -epsilon
3.11623000             0.01000000
3.46439000             0.05000000
3.97783000             0.10000000
4.58999000             0.15000000
5.27370000             0.20000000
6.05067000             0.25000000
7.00206000             0.30000000
8.09625000             0.35000000
9.37345000             0.40000000
10.84200000             0.45000000
12.69170000             0.50000000
14.83010000             0.55000000
17.30470000             0.60000000
20.28470000             0.65000000
23.92370000             0.70000000
27.86190000             0.75000000
32.62480000             0.80000000
38.31770000             0.85000000
45.10100000             0.90000000
52.81300000             0.95000000
61.97180000             1.00000000
72.74360000             1.05000000
84.99280000             1.10000000
99.22270000             1.15000000
114.66500000             1.20000000
132.93900000             1.25000000
152.97700000             1.30000000
174.84700000             1.35000000
199.41100000             1.40000000
226.18200000             1.45000000
254.37300000             1.50000000
284.94200000             1.55000000
316.15000000             1.60000000
348.86700000             1.65000000
381.98600000             1.70000000
416.33000000             1.75000000
451.49200000             1.80000000
484.86100000             1.85000000
518.81600000             1.90000000
550.54500000             1.95000000
583.10900000             2.00000000
614.71000000             2.05000000
643.72500000             2.10000000
673.34900000             2.15000000
699.13800000             2.20000000
725.38500000             2.25000000
748.77000000             2.30000000
770.97800000             2.35000000
791.70300000             2.40000000
810.77900000             2.45000000
830.71300000             2.50000000
846.36800000             2.55000000
861.86400000             2.60000000
876.35900000             2.65000000
889.35800000             2.70000000
901.54900000             2.75000000
912.97500000             2.80000000
923.37900000             2.85000000
932.64100000             2.90000000
941.25600000             2.95000000
948.01200000             3.00000000
949.65500000             3.01000000
955.50900000             3.05000000
962.39900000             3.10000000
978.97900000             3.25000000
982.57200000             3.30000000
986.90000000             3.35000000
990.65100000             3.40000000
993.32700000             3.45000000
996.76800000             3.50000000
999.36100000             3.55000000
1002.29000000             3.60000000
1004.43000000             3.65000000
1006.50000000             3.70000000
1008.39000000             3.75000000
1010.24000000             3.80000000
1011.93000000             3.85000000
1013.06000000             3.90000000
1014.37000000             3.95000000
1014.96000000             4.00000000
1016.34000000             4.05000000
1016.84000000             4.10000000
1017.88000000             4.15000000
1019.21000000             4.20000000
1019.74000000             4.25000000
1020.49000000             4.30000000
1021.17000000             4.35000000
1020.86000000             4.40000000
1021.93000000             4.45000000
1022.28000000             4.50000000
1022.38000000             4.55000000
1023.16000000             4.60000000
1023.33000000             4.65000000
1023.95000000             4.70000000
1024.13000000             4.75000000
1024.61000000             4.80000000
1024.50000000             4.85000000
1024.86000000             4.90000000
1024.94000000             4.95000000
1025.39000000             5.00000000
1025.48000000             5.05000000
1025.54000000             5.10000000
1025.36000000             5.15000000
1025.72000000             5.20000000
1025.42000000             5.25000000
1025.84000000             5.30000000
1025.90000000             5.35000000
1025.98000000             5.40000000
1025.68000000             5.45000000
1025.97000000             5.50000000
1025.83000000             5.55000000
1025.94000000             5.60000000
1025.93000000             5.65000000
1025.64000000             5.70000000
1025.88000000             5.75000000
1025.91000000             5.80000000
1025.98000000             5.85000000
1026.05000000             5.90000000
1026.03000000             5.95000000
1025.92000000             6.00000000
1026.09000000             6.05000000
1026.11000000             6.10000000
1026.17000000             6.15000000
1025.93000000             6.20000000
1026.04000000             6.25000000
1026.06000000             6.30000000
1026.35000000             6.35000000
1025.94000000             6.40000000
1025.99000000             6.45000000
1025.93000000             6.50000000
1026.11000000             6.55000000
1026.29000000             6.60000000
1025.75000000             6.65000000
1025.95000000             6.70000000
1025.98000000             6.75000000
1025.88000000             6.80000000
1025.95000000             6.85000000
1026.18000000             6.90000000
1025.85000000             6.95000000
1025.93000000             7.00000000
1025.86000000             7.05000000
1026.33000000             7.10000000
1025.79000000             7.15000000
1026.71000000             7.20000000
1026.47000000             7.25000000
1026.47000000             7.30000000
1026.45000000             7.35000000
1025.85000000             7.40000000
1026.23000000             7.45000000
1025.89000000             7.50000000
1025.75000000             7.55000000
1025.92000000             7.60000000
1026.01000000             7.65000000
1025.89000000             7.70000000
1025.96000000             7.75000000
1026.46000000             7.80000000
1026.21000000             7.85000000
1025.86000000             7.90000000
1025.86000000             7.95000000
1025.79000000             8.00000000
1026.25000000             8.05000000
