# <nContacts>            epsilon
2.09144000     0.01000000
2.32446000     0.05000000
2.72185000     0.10000000
3.16661000     0.15000000
3.73027000     0.20000000
4.33086000     0.25000000
5.18267000     0.30000000
6.00556000     0.35000000
7.15896000     0.40000000
8.56758000     0.45000000
9.96449000     0.50000000
11.96410000     0.55000000
14.15740000     0.60000000
16.90720000     0.65000000
20.21140000     0.70000000
24.12630000     0.75000000
28.65050000     0.80000000
34.57220000     0.85000000
40.97620000     0.90000000
49.29070000     0.95000000
59.30070000     1.00000000
70.27320000     1.05000000
83.79890000     1.10000000
100.58100000     1.15000000
119.74300000     1.20000000
141.06800000     1.25000000
167.16400000     1.30000000
197.07600000     1.35000000
230.44600000     1.40000000
269.13200000     1.45000000
316.68100000     1.50000000
364.43200000     1.55000000
418.60200000     1.60000000
476.35200000     1.65000000
543.25100000     1.70000000
611.69100000     1.75000000
682.55600000     1.80000000
759.52100000     1.85000000
834.83800000     1.90000000
915.49200000     1.95000000
999.70100000     2.00000000
1079.18000000     2.05000000
1154.78000000     2.10000000
1236.95000000     2.15000000
1308.14000000     2.20000000
1385.91000000     2.25000000
1445.47000000     2.30000000
1516.96000000     2.35000000
1576.36000000     2.40000000
1630.38000000     2.45000000
1682.06000000     2.50000000
1733.44000000     2.55000000
1770.83000000     2.60000000
1810.39000000     2.65000000
1846.34000000     2.70000000
1873.66000000     2.75000000
1900.65000000     2.80000000
1922.85000000     2.85000000
1942.53000000     2.90000000
1959.30000000     2.95000000
1972.75000000     3.00000000
2044.99000000     4.00000000
2047.72000000     6.00000000
2046.69000000     8.00000000
