# phi            epsilon
0.00050961     0.01000000
0.00056639     0.05000000
0.00066322     0.10000000
0.00077159     0.15000000
0.00090894     0.20000000
0.00105528     0.25000000
0.00126283     0.30000000
0.00146334     0.35000000
0.00174439     0.40000000
0.00208762     0.45000000
0.00242799     0.50000000
0.00291523     0.55000000
0.00344967     0.60000000
0.00411969     0.65000000
0.00492481     0.70000000
0.00587873     0.75000000
0.00698112     0.80000000
0.00842402     0.85000000
0.00998447     0.90000000
0.01201040     0.95000000
0.01444950     1.00000000
0.01712310     1.05000000
0.02041880     1.10000000
0.02450800     1.15000000
0.02917720     1.20000000
0.03437320     1.25000000
0.04073200     1.30000000
0.04802040     1.35000000
0.05615150     1.40000000
0.06557790     1.45000000
0.07716400     1.50000000
0.08879920     1.55000000
0.10199800     1.60000000
0.11607000     1.65000000
0.13237100     1.70000000
0.14904800     1.75000000
0.16631500     1.80000000
0.18506900     1.85000000
0.20342000     1.90000000
0.22307300     1.95000000
0.24359200     2.00000000
0.26295800     2.05000000
0.28138000     2.10000000
0.30140000     2.15000000
0.31874800     2.20000000
0.33769800     2.25000000
0.35220900     2.30000000
0.36962800     2.35000000
0.38410400     2.40000000
0.39726600     2.45000000
0.40986000     2.50000000
0.42237800     2.55000000
0.43148800     2.60000000
0.44112800     2.65000000
0.44988800     2.70000000
0.45654600     2.75000000
0.46312100     2.80000000
0.46853100     2.85000000
0.47332700     2.90000000
0.47741100     2.95000000
0.48068900     3.00000000
0.48191500     3.01000000
0.48363400     3.05000000
0.48633000     3.10000000
0.48904500     3.15000000
0.48977200     3.20000000
0.49147700     3.25000000
0.49251200     3.30000000
0.49374700     3.35000000
0.49517500     3.40000000
0.49510100     3.45000000
0.49595900     3.50000000
0.49627300     3.55000000
0.49710200     3.60000000
0.49707700     3.65000000
0.49762100     3.70000000
0.49786900     3.75000000
0.49810700     3.80000000
0.49817500     3.85000000
0.49826500     3.90000000
0.49835400     3.95000000
0.49843300     4.00000000
0.49873000     4.05000000
0.49877900     4.10000000
0.49859800     4.15000000
0.49884600     4.20000000
0.49866600     4.25000000
0.49878000     4.30000000
0.49906200     4.35000000
0.49900400     4.40000000
0.49871600     4.45000000
0.49888100     4.50000000
0.49895000     4.55000000
0.49893200     4.60000000
0.49879200     4.65000000
0.49885400     4.70000000
0.49895300     4.75000000
0.49901800     4.80000000
0.49893400     4.85000000
0.49906900     4.90000000
0.49888700     4.95000000
0.49894100     5.00000000
0.49904400     5.05000000
0.49900100     5.10000000
0.49921500     5.15000000
0.49907200     5.20000000
0.49916700     5.25000000
0.49888500     5.30000000
0.49908800     5.35000000
0.49869900     5.40000000
0.49901400     5.45000000
0.49888600     5.50000000
0.49907800     5.55000000
0.49887400     5.60000000
0.49915200     5.65000000
0.49904900     5.70000000
0.49909500     5.75000000
0.49919400     5.80000000
0.49898300     5.85000000
0.49887800     5.90000000
0.49894000     5.95000000
0.49914500     6.00000000
0.49892000     6.05000000
0.49901400     6.10000000
0.49894400     6.15000000
0.49895000     6.20000000
0.49871000     6.25000000
0.49886500     6.30000000
0.49907600     6.35000000
0.49887800     6.40000000
0.49911400     6.45000000
0.49881000     6.50000000
0.49919000     6.55000000
0.49907500     6.60000000
0.49906900     6.65000000
0.49904900     6.70000000
0.49886200     6.75000000
0.49902400     6.80000000
0.49910100     6.85000000
0.49888700     6.90000000
0.49906300     6.95000000
0.49910800     7.00000000
0.49896800     7.05000000
0.49904600     7.10000000
0.49900700     7.15000000
0.49899600     7.20000000
0.49900300     7.25000000
0.49898700     7.30000000
0.49895600     7.35000000
0.49903700     7.40000000
0.49893500     7.45000000
0.49904600     7.50000000
0.49904800     7.55000000
0.49902200     7.60000000
0.49902000     7.65000000
0.49884300     7.70000000
0.49897000     7.75000000
0.49901900     7.80000000
0.49908700     7.85000000
0.49892100     7.90000000
0.49909500     7.95000000
0.49867400     8.00000000
0.49918300     8.05000000
