# c_gesamt       c_cosolvent            Rg2mean      epsilon 
016.000            015.023            295.298            -00.900
002.000            001.023            349.306            -00.900
032.000            031.023            150.586            -00.900
000.977            000.000            967.160            -00.900
011.000            010.023            253.828            -00.900
003.000            002.023            133.012            -00.900
045.000            044.023            600.091            -00.900
008.000            007.023            234.189            -00.900
006.000            005.023            180.720            -00.900
023.000            022.023            474.172            -00.900
004.000            003.023            169.579            -00.900
091.000            090.023            304.620            -00.900
001.000            000.023            991.998            -00.900
128.000            127.023            592.350            -00.900
023.000            022.023            178.635            -00.800
091.000            090.023            251.014            -00.800
011.000            010.023            220.322            -00.800
032.000            031.023            322.251            -00.800
045.000            044.023            149.491            -00.800
064.000            063.023            130.020            -00.800
004.000            003.023            763.894            -00.800
002.000            001.023            082.323            -00.800
000.977            000.000            939.940            -00.800
006.000            005.023            138.710            -00.800
003.000            002.023            137.402            -00.800
008.000            007.023            119.215            -00.800
001.000            000.023            968.791            -00.800
016.000            015.023            442.412            -00.800
128.000            127.023            375.304            -00.800
011.000            010.023            185.597            -00.700
016.000            015.023            136.952            -00.700
003.000            002.023            064.648            -00.700
002.000            001.023            762.584            -00.700
008.000            007.023            275.966            -00.700
023.000            022.023            085.049            -00.700
128.000            127.023            380.807            -00.700
000.977            000.000            950.396            -00.700
091.000            090.023            340.399            -00.700
032.000            031.023            234.954            -00.700
001.000            000.023            915.702            -00.700
064.000            063.023            266.554            -00.700
004.000            003.023            281.564            -00.700
045.000            044.023            191.201            -00.700
006.000            005.023            171.331            -00.700
008.000            007.023            074.481            -00.600
016.000            015.023            499.455            -00.600
003.000            002.023            931.443            -00.600
045.000            044.023            106.104            -00.600
032.000            031.023            279.375            -00.600
128.000            127.023            201.717            -00.600
006.000            005.023            778.513            -00.600
002.000            001.023            887.864            -00.600
023.000            022.023            077.686            -00.600
004.000            003.023            932.476            -00.600
000.977            000.000            898.991            -00.600
091.000            090.023            215.031            -00.600
001.000            000.023            978.988            -00.600
011.000            010.023            066.355            -00.600
016.000            015.023            796.002            -00.500
045.000            044.023            570.400            -00.500
002.000            001.023            921.948            -00.500
091.000            090.023            079.049            -00.500
011.000            010.023            828.629            -00.500
004.000            003.023            901.330            -00.500
006.000            005.023            841.806            -00.500
008.000            007.023            873.672            -00.500
023.000            022.023            816.420            -00.500
001.000            000.023            983.932            -00.500
003.000            002.023            938.431            -00.500
064.000            063.023            195.112            -00.500
128.000            127.023            081.397            -00.500
000.977            000.000            934.207            -00.500
