# c_gesamt       c_cosolvent            Rg2mean      epsilon 
000.003            -00.974            793.763            -00.900
000.016            -00.961            1743.560            -00.900
000.008            -00.969            776.215            -00.900
000.045            -00.932            1166.950            -00.900
000.006            -00.971            620.751            -00.900
000.091            -00.886            1253.440            -00.900
000.001            -00.976            3914.910            -00.900
000.128            -00.849            2909.190            -00.900
000.064            -00.913            1627.210            -00.900
000.011            -00.966            1537.750            -00.900
000.004            -00.973            1102.890            -00.900
000.002            -00.975            2254.980            -00.900
000.023            -00.954            2074.080            -00.900
000.004            -00.973            834.145            -00.800
000.128            -00.849            2899.670            -00.800
000.003            -00.974            661.276            -00.800
000.006            -00.971            449.198            -00.800
000.011            -00.966            1221.590            -00.800
000.064            -00.913            1502.920            -00.800
000.045            -00.932            896.288            -00.800
000.008            -00.969            527.499            -00.800
000.016            -00.961            1599.180            -00.800
000.091            -00.886            1317.470            -00.800
000.002            -00.975            1379.110            -00.800
000.023            -00.954            2009.670            -00.800
000.001            -00.976            3891.220            -00.800
000.008            -00.969            319.832            -00.700
000.004            -00.973            273.036            -00.700
000.002            -00.975            3450.960            -00.700
000.023            -00.954            1990.150            -00.700
000.091            -00.886            1336.110            -00.700
000.006            -00.971            284.510            -00.700
000.001            -00.976            3716.580            -00.700
000.064            -00.913            1339.200            -00.700
000.016            -00.961            1291.210            -00.700
000.128            -00.849            3000.110            -00.700
000.003            -00.974            256.630            -00.700
000.045            -00.932            946.527            -00.700
000.011            -00.966            950.863            -00.700
000.128            -00.849            2571.470            -00.600
000.006            -00.971            3284.910            -00.600
000.023            -00.954            1844.410            -00.600
000.001            -00.976            3642.670            -00.600
000.003            -00.974            3569.420            -00.600
000.016            -00.961            310.722            -00.600
000.064            -00.913            992.973            -00.600
000.045            -00.932            334.201            -00.600
000.091            -00.886            570.093            -00.600
000.011            -00.966            282.936            -00.600
000.008            -00.969            273.185            -00.600
000.002            -00.975            3428.930            -00.600
000.004            -00.973            3495.700            -00.600
000.016            -00.961            3424.580            -00.500
000.011            -00.966            3739.640            -00.500
000.003            -00.974            3843.360            -00.500
000.023            -00.954            3111.500            -00.500
000.006            -00.971            3769.530            -00.500
000.002            -00.975            3688.420            -00.500
000.045            -00.932            2202.950            -00.500
000.004            -00.973            3604.100            -00.500
000.064            -00.913            290.546            -00.500
000.001            -00.976            3950.980            -00.500
000.008            -00.969            3760.320            -00.500
000.091            -00.886            273.198            -00.500
000.128            -00.849            300.678            -00.500
000.001            -00.976            3793.930            -00.400
000.004            -00.973            3913.550            -00.400
000.003            -00.974            3922.340            -00.400
000.023            -00.954            3567.480            -00.400
000.011            -00.966            3871.640            -00.400
000.064            -00.913            3500.570            -00.400
000.002            -00.975            3976.580            -00.400
000.045            -00.932            3592.810            -00.400
000.006            -00.971            3763.090            -00.400
000.008            -00.969            3745.910            -00.400
000.091            -00.886            3353.930            -00.400
000.128            -00.849            3583.060            -00.400
000.016            -00.961            3819.750            -00.400
