# c_gesamt       c_cosolvent            Rg2mean      epsilon 
000.016            000.015            295.298            -00.900
000.023            000.022            474.172            -00.900
000.045            000.044            600.091            -00.900
000.032            000.031            150.586            -00.900
000.064            000.063            271.807            -00.900
000.003            000.002            133.012            -00.900
000.001            000.000            967.160            -00.900
000.011            000.010            253.828            -00.900
000.006            000.005            180.720            -00.900
000.008            000.007            234.189            -00.900
000.128            000.127            592.350            -00.900
000.091            000.090            304.620            -00.900
000.001            000.000            991.998            -00.900
000.004            000.003            169.579            -00.900
000.002            000.001            349.306            -00.900
000.001            000.000            939.940            -00.800
000.091            000.090            251.014            -00.800
000.001            000.000            968.791            -00.800
000.011            000.010            220.322            -00.800
000.023            000.022            178.635            -00.800
000.064            000.063            130.020            -00.800
000.032            000.031            322.251            -00.800
000.045            000.044            149.491            -00.800
000.004            000.003            763.894            -00.800
000.002            000.001            082.323            -00.800
000.008            000.007            119.215            -00.800
000.006            000.005            138.710            -00.800
000.016            000.015            442.412            -00.800
000.128            000.127            375.304            -00.800
000.003            000.002            137.402            -00.800
000.023            000.022            085.049            -00.700
000.011            000.010            185.597            -00.700
000.016            000.015            136.952            -00.700
000.003            000.002            064.648            -00.700
000.002            000.001            762.584            -00.700
000.008            000.007            275.966            -00.700
000.128            000.127            380.807            -00.700
000.091            000.090            340.399            -00.700
000.032            000.031            234.954            -00.700
000.064            000.063            266.554            -00.700
000.045            000.044            191.201            -00.700
000.001            000.000            915.702            -00.700
000.004            000.003            281.564            -00.700
000.001            000.000            950.396            -00.700
000.006            000.005            171.331            -00.700
000.045            000.044            106.104            -00.600
000.011            000.010            066.355            -00.600
000.003            000.002            931.443            -00.600
000.002            000.001            887.864            -00.600
000.128            000.127            201.717            -00.600
000.008            000.007            074.481            -00.600
000.091            000.090            215.031            -00.600
000.032            000.031            279.375            -00.600
000.004            000.003            932.476            -00.600
000.001            000.000            978.988            -00.600
000.016            000.015            499.455            -00.600
000.006            000.005            778.513            -00.600
000.064            000.063            398.696            -00.600
000.001            000.000            898.991            -00.600
000.023            000.022            077.686            -00.600
000.045            000.044            570.400            -00.500
000.128            000.127            081.397            -00.500
000.011            000.010            828.629            -00.500
000.002            000.001            921.948            -00.500
000.006            000.005            841.806            -00.500
000.004            000.003            901.330            -00.500
000.001            000.000            934.207            -00.500
000.001            000.000            983.932            -00.500
000.032            000.031            686.404            -00.500
000.003            000.002            938.431            -00.500
000.008            000.007            873.672            -00.500
000.064            000.063            195.112            -00.500
000.023            000.022            816.420            -00.500
000.091            000.090            079.049            -00.500
000.016            000.015            796.002            -00.500
000.016            000.015            898.866            -00.400
000.004            000.003            912.789            -00.400
000.011            000.010            956.768            -00.400
000.032            000.031            872.328            -00.400
000.003            000.002            928.101            -00.400
000.006            000.005            921.775            -00.400
000.023            000.022            890.566            -00.400
000.008            000.007            927.189            -00.400
000.064            000.063            902.225            -00.400
000.128            000.127            793.970            -00.400
000.045            000.044            1000.290            -00.400
000.002            000.001            967.859            -00.400
000.001            000.000            915.646            -00.400
000.091            000.090            1062.990            -00.400
