# c_gesamt       c_cosolvent            Rg2mean      epsilon 
000.003            -00.974            198.441            -00.900
000.016            -00.961            435.890            -00.900
000.008            -00.969            194.054            -00.900
000.045            -00.932            291.738            -00.900
000.006            -00.971            155.188            -00.900
000.091            -00.886            313.360            -00.900
000.001            -00.976            978.727            -00.900
000.128            -00.849            727.298            -00.900
000.064            -00.913            406.803            -00.900
000.011            -00.966            384.439            -00.900
000.004            -00.973            275.722            -00.900
000.002            -00.975            563.745            -00.900
000.023            -00.954            518.520            -00.900
000.004            -00.973            208.536            -00.800
000.128            -00.849            724.916            -00.800
000.003            -00.974            165.319            -00.800
000.006            -00.971            112.299            -00.800
000.011            -00.966            305.398            -00.800
000.064            -00.913            375.729            -00.800
000.045            -00.932            224.072            -00.800
000.008            -00.969            131.875            -00.800
000.016            -00.961            399.794            -00.800
000.091            -00.886            329.366            -00.800
000.002            -00.975            344.778            -00.800
000.023            -00.954            502.417            -00.800
000.001            -00.976            972.806            -00.800
000.008            -00.969            079.958            -00.700
000.004            -00.973            068.259            -00.700
000.002            -00.975            862.741            -00.700
000.023            -00.954            497.537            -00.700
000.091            -00.886            334.027            -00.700
000.006            -00.971            071.127            -00.700
000.001            -00.976            929.145            -00.700
000.064            -00.913            334.801            -00.700
000.016            -00.961            322.802            -00.700
000.128            -00.849            750.028            -00.700
000.003            -00.974            064.157            -00.700
000.045            -00.932            236.632            -00.700
000.011            -00.966            237.716            -00.700
000.128            -00.849            642.868            -00.600
000.006            -00.971            821.229            -00.600
000.023            -00.954            461.103            -00.600
000.001            -00.976            910.667            -00.600
000.003            -00.974            892.355            -00.600
000.016            -00.961            077.680            -00.600
000.064            -00.913            248.243            -00.600
000.045            -00.932            083.550            -00.600
000.091            -00.886            142.523            -00.600
000.011            -00.966            070.734            -00.600
000.008            -00.969            068.296            -00.600
000.002            -00.975            857.232            -00.600
000.004            -00.973            873.926            -00.600
000.016            -00.961            856.146            -00.500
000.011            -00.966            934.909            -00.500
000.003            -00.974            960.839            -00.500
000.023            -00.954            777.876            -00.500
000.006            -00.971            942.384            -00.500
000.002            -00.975            922.105            -00.500
000.045            -00.932            550.738            -00.500
000.004            -00.973            901.026            -00.500
000.064            -00.913            072.636            -00.500
000.001            -00.976            987.745            -00.500
000.008            -00.969            940.080            -00.500
000.091            -00.886            068.300            -00.500
000.128            -00.849            075.169            -00.500
000.001            -00.976            948.482            -00.400
000.004            -00.973            978.388            -00.400
000.003            -00.974            980.585            -00.400
000.023            -00.954            891.870            -00.400
000.011            -00.966            967.909            -00.400
000.064            -00.913            875.142            -00.400
000.002            -00.975            994.145            -00.400
000.045            -00.932            898.203            -00.400
000.006            -00.971            940.774            -00.400
000.008            -00.969            936.478            -00.400
000.091            -00.886            838.483            -00.400
000.128            -00.849            895.765            -00.400
000.016            -00.961            954.938            -00.400
