# c_gesamt       c_cosolvent            Rg2mean      epsilon 
000.001            000.000            941.732            -00.450
000.002            000.001            952.322            -00.450
000.003            000.002            947.601            -00.450
000.004            000.003            914.448            -00.450
000.006            000.005            936.338            -00.450
000.008            000.007            923.815            -00.450
000.011            000.010            934.807            -00.450
000.016            000.015            907.309            -00.450
000.023            000.022            861.683            -00.450
000.045            000.044            775.456            -00.450
000.064            000.063            713.145            -00.450
000.091            000.090            670.263            -00.450
000.128            000.127            573.198            -00.450
000.175            000.174            097.863            -00.450
000.250            000.249            083.997            -00.450
000.325            000.324            108.139            -00.450
000.400            000.399            123.908            -00.450
000.500            000.499            542.162            -00.450
000.001            000.000            928.164            -00.700
000.002            000.001            863.124            -00.700
000.003            000.002            064.620            -00.700
000.004            000.003            068.540            -00.700
000.006            000.005            071.514            -00.700
000.008            000.007            080.384            -00.700
000.011            000.010            238.019            -00.700
000.016            000.015            322.927            -00.700
000.023            000.022            497.824            -00.700
000.045            000.044            236.762            -00.700
000.064            000.063            334.950            -00.700
000.091            000.090            334.003            -00.700
000.128            000.127            750.119            -00.700
000.001            000.000            952.762            -00.425
000.002            000.001            919.845            -00.425
000.003            000.002            942.391            -00.425
000.004            000.003            928.369            -00.425
000.006            000.005            895.392            -00.425
000.008            000.007            926.704            -00.425
000.011            000.010            882.179            -00.425
000.016            000.015            954.432            -00.425
000.023            000.022            870.702            -00.425
000.045            000.044            834.355            -00.425
000.064            000.063            844.511            -00.425
000.091            000.090            860.214            -00.425
000.128            000.127            709.679            -00.425
000.175            000.174            666.785            -00.425
000.250            000.249            602.957            -00.425
000.325            000.324            417.761            -00.425
000.400            000.399            514.135            -00.425
000.001            000.000            753.862            -00.350
000.002            000.001            833.633            -00.350
000.003            000.002            758.775            -00.350
000.004            000.003            750.726            -00.350
000.006            000.005            782.475            -00.350
000.008            000.007            758.126            -00.350
000.011            000.010            707.542            -00.350
000.016            000.015            725.623            -00.350
000.023            000.022            651.098            -00.350
000.045            000.044            461.009            -00.350
000.064            000.063            337.036            -00.350
000.091            000.090            208.331            -00.350
000.128            000.127            138.998            -00.350
000.175            000.174            138.032            -00.350
000.250            000.249            435.823            -00.350
000.325            000.324            632.264            -00.350
000.001            000.000            986.694            -00.500
000.002            000.001            922.727            -00.500
000.003            000.002            959.448            -00.500
000.004            000.003            900.500            -00.500
000.006            000.005            942.455            -00.500
000.008            000.007            938.231            -00.500
000.011            000.010            933.117            -00.500
000.016            000.015            854.778            -00.500
000.023            000.022            777.250            -00.500
000.045            000.044            549.988            -00.500
000.064            000.063            074.249            -00.500
000.091            000.090            068.798            -00.500
000.128            000.127            077.160            -00.500
000.175            000.174            080.282            -00.500
000.250            000.249            293.882            -00.500
000.325            000.324            210.058            -00.500
000.400            000.399            204.247            -00.500
000.500            000.499            358.675            -00.500
000.001            000.000            971.191            -00.800
000.002            000.001            344.848            -00.800
000.003            000.002            165.414            -00.800
000.004            000.003            208.668            -00.800
000.006            000.005            112.539            -00.800
000.008            000.007            132.065            -00.800
000.011            000.010            305.722            -00.800
000.016            000.015            399.850            -00.800
000.023            000.022            502.492            -00.800
000.045            000.044            224.300            -00.800
000.064            000.063            375.831            -00.800
000.091            000.090            329.426            -00.800
000.128            000.127            725.012            -00.800
000.001            000.000            978.001            -00.900
000.002            000.001            564.057            -00.900
000.003            000.002            198.576            -00.900
000.004            000.003            275.752            -00.900
000.006            000.005            155.407            -00.900
000.008            000.007            194.121            -00.900
000.011            000.010            384.498            -00.900
000.016            000.015            435.841            -00.900
000.023            000.022            518.555            -00.900
000.045            000.044            291.767            -00.900
000.064            000.063            406.809            -00.900
000.091            000.090            313.494            -00.900
000.128            000.127            727.383            -00.900
000.001            000.000            947.040            -00.400
000.002            000.001            995.235            -00.400
000.003            000.002            981.165            -00.400
000.004            000.003            977.614            -00.400
000.006            000.005            939.153            -00.400
000.008            000.007            935.535            -00.400
000.011            000.010            969.994            -00.400
000.016            000.015            953.572            -00.400
000.023            000.022            891.384            -00.400
000.045            000.044            897.716            -00.400
000.064            000.063            874.472            -00.400
000.091            000.090            838.398            -00.400
000.128            000.127            897.113            -00.400
000.175            000.174            782.335            -00.400
000.250            000.249            830.644            -00.400
000.325            000.324            827.869            -00.400
000.400            000.399            517.769            -00.400
000.500            000.499            477.636            -00.400
000.001            000.000            909.138            -00.600
000.002            000.001            857.788            -00.600
000.003            000.002            891.546            -00.600
000.004            000.003            872.858            -00.600
000.006            000.005            819.657            -00.600
000.008            000.007            068.641            -00.600
000.011            000.010            071.556            -00.600
000.016            000.015            078.346            -00.600
000.023            000.022            461.156            -00.600
000.045            000.044            084.068            -00.600
000.064            000.063            248.530            -00.600
000.091            000.090            143.159            -00.600
000.128            000.127            643.319            -00.600
