# c       Rg2
0.000000000000000000e+00       1.154665215746998319e+00
2.204408817635270662e-02       1.153644438313242482e+00
4.408817635270541324e-02       1.152506817699130659e+00
6.613226452905812680e-02       1.151253835798910163e+00
8.817635270541082648e-02       1.149886968281214950e+00
1.102204408817635262e-01       1.148407684590714517e+00
1.322645290581162536e-01       1.146817447949657343e+00
1.543086172344689533e-01       1.145117715359525334e+00
1.763527054108216530e-01       1.143309937602600801e+00
1.983967935871743526e-01       1.141395559243577829e+00
2.204408817635270523e-01       1.139376018631186316e+00
2.424849699398797798e-01       1.137252747899748506e+00
2.645290581162325072e-01       1.135027172970816567e+00
2.865731462925851791e-01       1.132700713554761096e+00
3.086172344689379066e-01       1.130274783152388718e+00
3.306613226452905785e-01       1.127750789056499059e+00
3.527054108216433059e-01       1.125130132353553636e+00
3.747494989979960334e-01       1.122414207925221952e+00
3.967935871743487053e-01       1.119604404450004420e+00
4.188376753507014327e-01       1.116702104404828422e+00
4.408817635270541047e-01       1.113708684066660348e+00
4.629258517034068321e-01       1.110625513514105211e+00
4.849699398797595595e-01       1.107453956628994263e+00
5.070140280561122870e-01       1.104195371098011469e+00
5.290581162324650144e-01       1.100851108414252266e+00
5.511022044088176308e-01       1.097422513878878014e+00
5.731462925851703583e-01       1.093910926602689182e+00
5.951903807615230857e-01       1.090317679507714521e+00
6.172344689378758131e-01       1.086644099328852420e+00
6.392785571142285406e-01       1.082891506615430544e+00
6.613226452905811570e-01       1.079061215732833867e+00
6.833667334669338844e-01       1.075154534864101841e+00
7.054108216432866119e-01       1.071172766011514454e+00
7.274549098196393393e-01       1.067117204998217828e+00
7.494989979959920667e-01       1.062989141469814269e+00
7.715430861723446831e-01       1.058789858895947678e+00
7.935871743486974106e-01       1.054520634571950222e+00
8.156312625250501380e-01       1.050182739620389105e+00
8.376753507014028655e-01       1.045777438992705477e+00
8.597194388777555929e-01       1.041305991470801384e+00
8.817635270541082093e-01       1.036769649668664028e+00
9.038076152304609368e-01       1.032169660033902980e+00
9.258517034068136642e-01       1.027507262849451486e+00
9.478957915831663916e-01       1.022783692235080144e+00
9.699398797595191191e-01       1.018000176149045366e+00
9.919839679358718465e-01       1.013157936389669000e+00
1.014028056112224574e+00       1.008258188596959037e+00
1.036072144288577190e+00       1.003302142254202334e+00
1.058116232464930029e+00       9.982910006895523436e-01
1.080160320641282645e+00       9.932259610776537073e-01
1.102204408817635262e+00       9.881082144412390855e-01
1.124248496993988100e+00       9.829389456527175550e-01
1.146292585170340717e+00       9.777193334357840993e-01
1.168336673346693555e+00       9.724505503670299866e-01
1.190380761523046171e+00       9.671337628775212858e-01
1.212424849699398788e+00       9.617701312544414405e-01
1.234468937875751626e+00       9.563608096426399197e-01
1.256513026052104243e+00       9.509069460462810097e-01
1.278557114228457081e+00       9.454096823304040109e-01
1.300601202404809698e+00       9.398701542225794681e-01
1.322645290581162314e+00       9.342894913144395019e-01
1.344689378757515152e+00       9.286688170633440320e-01
1.366733466933867769e+00       9.230092487939499657e-01
1.388777555110220607e+00       9.173118976998273499e-01
1.410821643286573224e+00       9.115778688450276723e-01
1.432865731462925840e+00       9.058082611657395367e-01
1.454909819639278679e+00       9.000041674718400886e-01
1.476953907815631295e+00       8.941666744485403662e-01
1.498997995991984133e+00       8.882968626579390570e-01
1.521042084168336750e+00       8.823958065406735107e-01
1.543086172344689366e+00       8.764645744174842656e-01
1.565130260521042205e+00       8.705042284908316441e-01
1.587174348697394821e+00       8.645158248465042439e-01
