# N             E       lndos(E)        epsilon     c_ges
256.000     -1736.400     -2816.349     -0.400     0.001
256.000     -1334.000     -1807.944     -0.400     0.001
256.000     -1333.600     -1807.329     -0.400     0.001
256.000     -1333.200     -1806.751     -0.400     0.001
256.000     -1332.800     -1806.130     -0.400     0.001
256.000     -1332.400     -1805.538     -0.400     0.001
256.000     -1332.000     -1804.966     -0.400     0.001
256.000     -1331.600     -1804.371     -0.400     0.001
256.000     -1331.200     -1803.781     -0.400     0.001
256.000     -1330.800     -1803.174     -0.400     0.001
256.000     -1330.400     -1802.573     -0.400     0.001
256.000     -1330.000     -1801.987     -0.400     0.001
256.000     -1329.600     -1801.392     -0.400     0.001
256.000     -1329.200     -1800.790     -0.400     0.001
256.000     -1328.800     -1800.191     -0.400     0.001
256.000     -1328.400     -1799.602     -0.400     0.001
256.000     -1334.400     -1808.520     -0.400     0.001
256.000     -1334.800     -1809.114     -0.400     0.001
256.000     -1335.200     -1809.722     -0.400     0.001
256.000     -1335.600     -1810.304     -0.400     0.001
256.000     -1342.000     -1819.829     -0.400     0.001
256.000     -1341.600     -1819.216     -0.400     0.001
256.000     -1341.200     -1818.625     -0.400     0.001
256.000     -1340.800     -1818.045     -0.400     0.001
256.000     -1340.400     -1817.439     -0.400     0.001
256.000     -1340.000     -1816.840     -0.400     0.001
256.000     -1339.600     -1816.230     -0.400     0.001
256.000     -1328.000     -1798.999     -0.400     0.001
256.000     -1339.200     -1815.645     -0.400     0.001
256.000     -1338.400     -1814.454     -0.400     0.001
256.000     -1338.000     -1813.854     -0.400     0.001
256.000     -1337.600     -1813.275     -0.400     0.001
256.000     -1337.200     -1812.676     -0.400     0.001
256.000     -1336.800     -1812.092     -0.400     0.001
256.000     -1336.400     -1811.498     -0.400     0.001
256.000     -1336.000     -1810.899     -0.400     0.001
256.000     -1338.800     -1815.057     -0.400     0.001
256.000     -1342.400     -1820.396     -0.400     0.001
256.000     -1327.600     -1798.408     -0.400     0.001
256.000     -1326.800     -1797.193     -0.400     0.001
256.000     -1318.400     -1784.575     -0.400     0.001
256.000     -1318.000     -1783.981     -0.400     0.001
256.000     -1317.600     -1783.384     -0.400     0.001
256.000     -1317.200     -1782.790     -0.400     0.001
256.000     -1316.800     -1782.180     -0.400     0.001
256.000     -1316.400     -1781.592     -0.400     0.001
256.000     -1316.000     -1780.978     -0.400     0.001
256.000     -1315.600     -1780.383     -0.400     0.001
256.000     -1315.200     -1779.778     -0.400     0.001
256.000     -1314.800     -1779.186     -0.400     0.001
256.000     -1314.400     -1778.582     -0.400     0.001
256.000     -1314.000     -1777.983     -0.400     0.001
256.000     -1313.600     -1777.385     -0.400     0.001
256.000     -1313.200     -1776.787     -0.400     0.001
256.000     -1312.800     -1776.198     -0.400     0.001
256.000     -1318.800     -1785.182     -0.400     0.001
256.000     -1319.200     -1785.778     -0.400     0.001
256.000     -1319.600     -1786.384     -0.400     0.001
256.000     -1320.000     -1786.986     -0.400     0.001
256.000     -1326.400     -1796.611     -0.400     0.001
256.000     -1326.000     -1795.998     -0.400     0.001
256.000     -1325.600     -1795.391     -0.400     0.001
256.000     -1325.200     -1794.783     -0.400     0.001
256.000     -1324.800     -1794.188     -0.400     0.001
256.000     -1324.400     -1793.582     -0.400     0.001
256.000     -1324.000     -1792.997     -0.400     0.001
256.000     -1327.200     -1797.799     -0.400     0.001
256.000     -1323.600     -1792.401     -0.400     0.001
256.000     -1322.800     -1791.193     -0.400     0.001
256.000     -1322.400     -1790.591     -0.400     0.001
256.000     -1322.000     -1789.997     -0.400     0.001
256.000     -1321.600     -1789.378     -0.400     0.001
256.000     -1321.200     -1788.792     -0.400     0.001
256.000     -1320.800     -1788.191     -0.400     0.001
256.000     -1320.400     -1787.595     -0.400     0.001
256.000     -1323.200     -1791.784     -0.400     0.001
256.000     -1312.400     -1775.591     -0.400     0.001
256.000     -1342.800     -1821.029     -0.400     0.001
256.000     -1343.600     -1822.204     -0.400     0.001
