# N            E            lndos(E)             epsilon
32.000     -200.000     -5100.044     -0.800
32.000     -15.600     13.695     -0.200
32.000     -15.400     13.966     -0.200
32.000     -15.200     14.235     -0.200
32.000     -15.000     14.504     -0.200
32.000     -14.800     14.769     -0.200
32.000     -14.600     15.027     -0.200
32.000     -14.400     15.287     -0.200
32.000     -14.200     15.543     -0.200
32.000     -14.000     15.797     -0.200
32.000     -13.800     16.044     -0.200
32.000     -13.600     16.290     -0.200
32.000     -13.400     16.528     -0.200
32.000     -13.200     16.765     -0.200
32.000     -13.000     16.996     -0.200
32.000     -15.800     13.416     -0.200
32.000     -12.800     17.223     -0.200
32.000     -12.400     17.666     -0.200
32.000     -12.200     17.879     -0.200
32.000     -12.000     18.085     -0.200
32.000     -11.800     18.291     -0.200
32.000     -11.600     18.485     -0.200
32.000     -11.400     18.679     -0.200
32.000     -11.200     18.858     -0.200
32.000     -11.000     19.041     -0.200
32.000     -10.800     19.209     -0.200
32.000     -10.600     19.377     -0.200
32.000     -10.400     19.538     -0.200
32.000     -10.200     19.689     -0.200
32.000     -10.000     19.832     -0.200
32.000     -9.800     19.969     -0.200
32.000     -12.600     17.447     -0.200
32.000     -16.000     13.141     -0.200
32.000     -16.200     12.859     -0.200
32.000     -16.400     12.578     -0.200
32.000     -22.600     2.829     -0.200
32.000     -22.400     3.168     -0.200
32.000     -22.200     3.500     -0.200
32.000     -22.000     3.836     -0.200
32.000     -21.800     4.170     -0.200
32.000     -21.600     4.501     -0.200
32.000     -21.400     4.833     -0.200
32.000     -21.200     5.163     -0.200
32.000     -21.000     5.486     -0.200
32.000     -20.800     5.813     -0.200
32.000     -20.600     6.139     -0.200
32.000     -20.400     6.465     -0.200
32.000     -20.200     6.780     -0.200
32.000     -20.000     7.108     -0.200
32.000     -19.800     7.423     -0.200
32.000     -19.600     7.742     -0.200
32.000     -19.400     8.055     -0.200
32.000     -16.600     12.291     -0.200
32.000     -16.800     12.005     -0.200
32.000     -17.000     11.715     -0.200
32.000     -17.200     11.421     -0.200
32.000     -17.400     11.122     -0.200
32.000     -17.600     10.829     -0.200
32.000     -9.600     20.096     -0.200
32.000     -17.800     10.527     -0.200
32.000     -18.200     9.919     -0.200
32.000     -18.400     9.613     -0.200
32.000     -18.600     9.306     -0.200
32.000     -18.800     8.999     -0.200
32.000     -19.000     8.686     -0.200
32.000     -19.200     8.373     -0.200
32.000     -18.000     10.221     -0.200
32.000     -9.400     20.220     -0.200
32.000     -9.200     20.332     -0.200
32.000     -9.000     20.438     -0.200
32.000     -1.800     13.145     -0.200
32.000     -1.600     12.285     -0.200
32.000     -1.400     11.344     -0.200
32.000     -1.200     10.297     -0.200
32.000     -1.000     9.131     -0.200
32.000     -0.800     7.821     -0.200
32.000     -0.600     6.341     -0.200
32.000     -0.400     4.627     -0.200
32.000     -0.200     2.592     -0.200
32.000     -0.000     0.000     -0.200
32.000     -0.800     2.578     -0.100
32.000     -98.000     -346.551     -0.400
32.000     -97.600     -347.923     -0.400
32.000     -97.200     -344.428     -0.400
32.000     -96.800     -343.533     -0.400
32.000     -96.400     -343.213     -0.400
32.000     -96.000     -341.855     -0.400
32.000     -90.400     -2294.406     -0.400
32.000     -90.800     -3239.062     -0.400
32.000     -91.200     -3256.889     -0.400
32.000     -91.600     -3240.453     -0.400
32.000     -101.200     -899.294     -0.400
32.000     -101.600     -900.144     -0.400
32.000     -2.000     13.926     -0.200
32.000     -102.400     -900.714     -0.400
32.000     -98.800     -381.788     -0.400
32.000     -99.200     -382.505     -0.400
32.000     -99.600     -505.418     -0.400
32.000     -100.000     -559.008     -0.400
32.000     -100.400     -560.071     -0.400
32.000     -100.800     -560.338     -0.400
32.000     -98.400     -381.199     -0.400
32.000     -22.800     2.488     -0.200
32.000     -2.200     14.644     -0.200
32.000     -2.600     15.892     -0.200
32.000     -8.800     20.534     -0.200
32.000     -8.600     20.620     -0.200
32.000     -8.400     20.697     -0.200
32.000     -8.200     20.766     -0.200
32.000     -8.000     20.822     -0.200
32.000     -7.800     20.869     -0.200
32.000     -7.600     20.904     -0.200
32.000     -7.400     20.928     -0.200
32.000     -7.200     20.942     -0.200
32.000     -7.000     20.938     -0.200
32.000     -6.800     20.927     -0.200
32.000     -6.600     20.907     -0.200
32.000     -6.400     20.860     -0.200
32.000     -6.200     20.802     -0.200
32.000     -6.000     20.727     -0.200
32.000     -5.800     20.634     -0.200
32.000     -5.600     20.525     -0.200
32.000     -2.800     16.444     -0.200
32.000     -3.000     16.943     -0.200
32.000     -3.200     17.404     -0.200
32.000     -3.400     17.832     -0.200
32.000     -3.600     18.222     -0.200
32.000     -3.800     18.568     -0.200
32.000     -2.400     15.296     -0.200
32.000     -4.000     18.887     -0.200
32.000     -4.400     19.441     -0.200
32.000     -4.600     19.675     -0.200
32.000     -4.800     19.889     -0.200
32.000     -5.000     20.084     -0.200
32.000     -5.200     20.251     -0.200
32.000     -5.400     20.395     -0.200
32.000     -4.200     19.178     -0.200
32.000     -95.600     -42.585     -0.400
32.000     -23.000     2.151     -0.200
32.000     -23.400     1.458     -0.200
32.000     -43.400     -42.780     -0.200
32.000     -43.200     -42.100     -0.200
32.000     -43.000     -41.494     -0.200
32.000     -42.800     -40.850     -0.200
32.000     -42.600     -40.263     -0.200
32.000     -42.400     -39.647     -0.200
32.000     -42.200     -39.079     -0.200
32.000     -42.000     -38.492     -0.200
32.000     -41.800     -37.831     -0.200
32.000     -41.600     -37.232     -0.200
32.000     -41.400     -36.661     -0.200
32.000     -41.200     -36.086     -0.200
32.000     -41.000     -35.540     -0.200
32.000     -40.800     -34.975     -0.200
32.000     -43.600     -43.388     -0.200
32.000     -40.600     -34.447     -0.200
32.000     -40.200     -33.381     -0.200
32.000     -40.000     -32.839     -0.200
32.000     -39.800     -32.318     -0.200
32.000     -39.600     -31.802     -0.200
32.000     -39.400     -31.287     -0.200
32.000     -39.200     -30.778     -0.200
32.000     -39.000     -30.277     -0.200
32.000     -38.800     -29.783     -0.200
32.000     -38.600     -29.286     -0.200
32.000     -38.400     -28.799     -0.200
32.000     -38.200     -28.333     -0.200
32.000     -38.000     -27.850     -0.200
32.000     -37.800     -27.367     -0.200
32.000     -37.600     -26.898     -0.200
32.000     -40.400     -33.892     -0.200
32.000     -43.800     -44.108     -0.200
32.000     -44.000     -44.728     -0.200
32.000     -44.200     -45.461     -0.200
32.000     -49.600     -70.221     -0.200
32.000     -49.400     -70.505     -0.200
32.000     -49.200     -67.676     -0.200
32.000     -49.000     -67.667     -0.200
32.000     -48.800     -65.287     -0.200
32.000     -48.600     -65.418     -0.200
32.000     -48.400     -64.392     -0.200
32.000     -48.200     -64.122     -0.200
32.000     -48.000     -62.936     -0.200
32.000     -50.800     -808.451     -0.200
32.000     -50.600     -2567.365     -0.200
32.000     -50.400     -70.920     -0.200
32.000     -50.200     -808.501     -0.200
32.000     -47.800     -60.380     -0.200
32.000     -47.600     -58.736     -0.200
32.000     -47.400     -58.300     -0.200
32.000     -47.200     -56.850     -0.200
32.000     -44.400     -46.093     -0.200
32.000     -44.600     -46.862     -0.200
32.000     -44.800     -47.465     -0.200
32.000     -45.000     -48.286     -0.200
32.000     -45.200     -49.588     -0.200
32.000     -45.400     -50.348     -0.200
32.000     -37.400     -26.421     -0.200
32.000     -45.600     -50.845     -0.200
32.000     -46.000     -52.132     -0.200
32.000     -46.200     -53.095     -0.200
32.000     -46.400     -53.592     -0.200
32.000     -46.600     -54.703     -0.200
32.000     -46.800     -55.137     -0.200
32.000     -47.000     -56.383     -0.200
